"topicName","wiki","event","resource"
"WWW","https://www.wikidata.org/wiki/Q15117072","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"GSH","https://www.wikidata.org/wiki/Q5587274","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"HTTP","https://www.wikidata.org/wiki/Q8777","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Apple","https://www.wikidata.org/wiki/Q312","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Text","https://www.wikidata.org/wiki/Q65175049","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Community","https://www.wikidata.org/wiki/Q2630741","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"2D","https://www.wikidata.org/wiki/Q1194763","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_worksheet06"
"Graph","https://www.wikidata.org/wiki/Q2479726","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"API","https://www.wikidata.org/wiki/Q165194","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Netflix","https://www.wikidata.org/wiki/Q907311","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"OWL","https://www.wikidata.org/wiki/Q994371","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"RAM","https://www.wikidata.org/wiki/Q173104","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Reyes","https://www.wikidata.org/wiki/Q16236481","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Semantic Networks","https://www.wikidata.org/wiki/Q1045785","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Unstructured Information Management Architecture","https://www.wikidata.org/wiki/Q1539155","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Chunking","https://www.wikidata.org/wiki/Q11725","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Workflow","https://www.wikidata.org/wiki/Q30602204","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"YouTube","https://www.wikidata.org/wiki/Q866","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
